Virus.name	UF	Collection.date	Lineage	pangoLEARN_release	SeqN	DataSeq
hCoV-19/Brazil/RJ-FIOCRUZ-16508/2021	RJ	2021-03-30	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/RJ-FIOCRUZ-169/2021	RJ	2021-01-05	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-16951/2020	RJ	2020-09-21	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-170/2021	RJ	2021-01-05	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-17010/2020	RJ	2020-09-28	B.1.1.33	2021-04-14	MiSeq_LVRS_066 / MiSeq_LVRS_069	NA
hCoV-19/Brazil/RJ-FIOCRUZ-17161/2020	RJ	2020-09-28	N.1	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-17181/2020	RJ	2020-09-29	B.1.1.314	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-17192/2020	RJ	2020-09-29	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-181/2021	RJ	2021-01-04	P.2	NA	MiSeq_LVRS_036	2021-01-19
hCoV-19/Brazil/RJ-FIOCRUZ-18105/2020	RJ	2020-10-05	B.1.1.33	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-18456/2020	RJ	2020-10-07	B.1.1.33	2021-04-14	MiSeq_LVRS_066 / MiSeq_LVRS_069	NA
hCoV-19/Brazil/RJ-FIOCRUZ-19039/2020	RJ	2020-10-13	B.1.1.33	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-19042/2020	RJ	2020-10-13	B.1.1.28	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-191/2021	RJ	2021-01-04	B.1.1.143	NA	MiSeq_LVRS_036	2021-01-19
hCoV-19/Brazil/RJ-FIOCRUZ-19770/2021	RJ	2020-10-17	B.1.1.33	2021-04-14	MiSeq_LVRS_065	NA
hCoV-19/Brazil/RJ-FIOCRUZ-20063/2020	RJ	2020-10-21	B.1.1.28	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-2112/2021	RJ	2021-01-13	B.1.1.28	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-21303/2020	RJ	2020-10-30	P.2	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-21330/2020	RJ	2020-10-30	P.2	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-21466/2020	RJ	2020-11-02	P.2	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-21695/2020	RJ	2020-11-04	B.1.1.33	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-21917/2020	RJ	2020-11-05	P.2	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-21920/2020	RJ	2020-11-05	B.1.1.33	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-22196/2020	RJ	2020-11-06	P.2	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-2240/2021	RJ	2021-01-19	P.2	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-23034/2020	RJ	2020-11-11	B.1.1.28	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-23248/2020	RJ	2020-10-05	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-23265/2020	RJ	2020-11-11	B.1.1.28	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-2330/2021	RJ	2021-01-18	P.2	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-2349/2021	RJ	2021-01-18	P.2	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-2367/2020	RJ	2020-04-20	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-2372/2021	RJ	2021-01-19	B.1.1.28	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-2374/2021	RJ	2021-01-19	P.2	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-23842/2020	RJ	2020-11-14	P.2	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/RJ-FIOCRUZ-2404/2021	RJ	2021-01-19	P.2	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-2521/2021	RJ	2021-01-19	P.2	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-2524/2021	RJ	2021-01-19	P.2	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-2529/2021	RJ	2021-01-19	P.2	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-2537/2021	RJ	2021-01-19	P.2	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-2540/2021	RJ	2021-01-19	B.1.1.28	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-2581/2021	RJ	2021-01-21	P.2	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-2624/2021	RJ	2021-01-21	B.1.1.7	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/RJ-FIOCRUZ-2694/2021	RJ	2021-01-19	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-27541/2020	RJ	2020-12-03	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-2756/2021	RJ	2021-01-22	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-28483/2020	RJ	2020-11-18	N.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-2930/2020	RJ	2020-04-29	B.1.1.29	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-2972/2021	RJ	2021-01-18	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-304/2021	RJ	2021-01-05	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-30991/2020	RJ	2020-12-16	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-3132/2020	RJ	2020-05-02	B.1	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-31343/2020	RJ	2020-12-17	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-3150/2021	RJ	2021-01-25	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-31519-1P/2020	RJ	2020-12-09	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-31519/2020	RJ	2020-12-09	P.2	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-31576/2020	RJ	2020-12-18	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-31887/2020	RJ	2020-12-18	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-31970/2020	RJ	2020-12-21	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-31999/2020	RJ	2020-12-21	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32078/2020	RJ	2020-12-22	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32095/2020	RJ	2020-12-22	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32140/2020	RJ	2020-12-21	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32314/2020	RJ	2020-12-21	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32403/2020	RJ	2020-12-11	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32416/2020	RJ	2020-12-23	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32445/2020	RJ	2020-12-23	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32462/2020	RJ	2020-12-23	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32478/2020	RJ	2020-12-27	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32480/2020	RJ	2020-12-27	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32490/2020	RJ	2020-12-21	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32506/2020	RJ	2020-12-28	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32635/2020	RJ	2020-12-28	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32636/2020	RJ	2020-12-28	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32650/2020	RJ	2020-12-27	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32663/2020	RJ	2020-12-28	P.2	NA	MiSeq_LVRS_036	2021-01-19
hCoV-19/Brazil/RJ-FIOCRUZ-32706/2020	RJ	2020-12-28	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32716/2020	RJ	2020-12-28	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32808/2020	RJ	2020-12-28	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-32834/2020	RJ	2020-12-29	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-3289/2021	RJ	2021-01-25	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-32960/2020	RJ	2020-12-30	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-33003/2020	RJ	2020-12-29	B.1.1.28	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-33008/2020	RJ	2020-12-30	P.2	NA	MiSeq_LVRS_035	2021-01-15
hCoV-19/Brazil/RJ-FIOCRUZ-335/2021	RJ	2021-01-05	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-3366-1P/2020	RJ	2020-05-06	B.1	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-3366A1-1P/2020	RJ	2020-05-06	B.1	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/RJ-FIOCRUZ-3457/2021	RJ	2021-01-26	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-3474/2021	RJ	2021-01-26	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-3615/2021	RJ	2021-01-27	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-365/2021	RJ	2021-01-05	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-3663/2021	RJ	2021-01-28	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-3695/2021	RJ	2021-01-28	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-3814/2021	RJ	2021-01-29	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-3920/2020	RJ	2020-05-14	B.1	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-4119/2021	RJ	2021-02-01	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4138/2021	RJ	2021-01-29	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4192/2021	RJ	2021-02-01	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-422/2021	RJ	2021-01-04	P.2	NA	MiSeq_LVRS_036	2021-01-19
hCoV-19/Brazil/RJ-FIOCRUZ-4316/2021	RJ	2021-02-01	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4317/2021	RJ	2021-02-01	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4337/2021	RJ	2021-02-02	P.1	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4346/2021	RJ	2021-02-02	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4352/2021	RJ	2021-02-03	B.1.1.28	NA	MiSeq_LVRS_052	2021-03-02
hCoV-19/Brazil/RJ-FIOCRUZ-4368-1P/2020	RJ	2020-05-21	B.1.1.33	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-4474/2021	RJ	2021-02-02	B.1.1.28	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4580/2021	RJ	2021-02-03	P.1	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4647/2021	RJ	2021-02-03	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4671/2021	RJ	2021-02-03	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4673/2021	RJ	2021-02-03	P.2	NA	MiSeq_LVRS_052	2021-03-02
hCoV-19/Brazil/RJ-FIOCRUZ-4676/2021	RJ	2021-02-04	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4684/2021	RJ	2021-02-04	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4695/2021	RJ	2021-02-04	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4696/2021	RJ	2021-02-04	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4799/2021	RJ	2021-02-03	B.1.1.28	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4826/2021	RJ	2021-02-05	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4829/2021	RJ	2021-02-05	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4830/2021	RJ	2021-02-05	B.1.1.29	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4858/2021	RJ	2021-02-05	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4864/2021	RJ	2021-02-05	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-4942/2021	RJ	2021-02-08	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-497/2021	RJ	2021-01-06	P.2	NA	MiSeq_LVRS_037	2021-01-26
hCoV-19/Brazil/RJ-FIOCRUZ-4978/2021	RJ	2021-02-06	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-5/2021	RJ	2021-01-02	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-5012/2021	RJ	2021-02-08	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-5027A1-1P/2020	RJ	2020-05-28	B.1.1.33	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/RJ-FIOCRUZ-5230/2021	RJ	2021-02-09	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-5233/2021	RJ	2021-02-09	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-5236/2021	RJ	2021-02-09	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-5283/2021	RJ	2021-02-10	P.2	NA	MiSeq_LVRS_048	2021-02-26
hCoV-19/Brazil/RJ-FIOCRUZ-5288/2021	RJ	2021-02-10	B.1.1.222	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-529/2021	RJ	2021-01-06	P.2	NA	MiSeq_LVRS_036	2021-01-19
hCoV-19/Brazil/RJ-FIOCRUZ-564/2021	RJ	2021-01-05	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-571/2021	RJ	2021-01-06	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-572/2021	RJ	2021-01-06	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-6258/2021	RJ	2021-02-10	P.1	NA	MiSeq_LVRS_048	2021-02-26
hCoV-19/Brazil/RJ-FIOCRUZ-6297/2021	RJ	2021-02-10	P.2	NA	MiSeq_LVRS_048	2021-02-26
hCoV-19/Brazil/RJ-FIOCRUZ-6365/2020	RJ	2020-06-15	B.1.1.28	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-6370/2021	RJ	2021-02-10	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-6373/2021	RJ	2021-02-11	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-6376/2021	RJ	2021-02-11	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-6377/2021	RJ	2021-02-11	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-6381/2021	RJ	2021-02-11	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-6384/2021	RJ	2021-02-11	P.1	NA	MiSeq_LVRS_048	2021-02-26
hCoV-19/Brazil/RJ-FIOCRUZ-6385/2021	RJ	2021-02-11	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-640/2021	RJ	2021-01-06	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/RJ-FIOCRUZ-6427/2021	RJ	2021-02-11	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-6458/2021	RJ	2021-02-05	P.1	NA	MiSeq_LVRS_047	2021-02-20
hCoV-19/Brazil/RJ-FIOCRUZ-6459/2021	RJ	2021-02-05	P.1	NA	MiSeq_LVRS_047	2021-02-20
hCoV-19/Brazil/RJ-FIOCRUZ-6590/2021	RJ	2021-02-12	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-6755/2021	RJ	2021-02-15	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-6789/2021	RJ	2021-02-15	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-6790/2021	RJ	2021-02-15	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-6791/2021	RJ	2021-02-15	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/RJ-FIOCRUZ-6903/2021	RJ	2021-02-17	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/RJ-FIOCRUZ-6907/2021	RJ	2021-02-16	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/RJ-FIOCRUZ-6960/2021	RJ	2021-02-18	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/RJ-FIOCRUZ-6966/2021	RJ	2021-02-18	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/RJ-FIOCRUZ-7021/2021	RJ	2021-02-18	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/RJ-FIOCRUZ-7157/2021	RJ	2021-02-19	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/RJ-FIOCRUZ-7282/2020	RJ	2020-06-25	B.1.1.28	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/RJ-FIOCRUZ-7289/2021	RJ	2021-02-21	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/RJ-FIOCRUZ-731/2021	RJ	2021-01-07	P.2	NA	MiSeq_LVRS_036	2021-01-19
hCoV-19/Brazil/RJ-FIOCRUZ-7345/2021	RJ	2021-02-21	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/RJ-FIOCRUZ-7392/2021	RS	2021-02-10	P.1	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/RJ-FIOCRUZ-7494/2021	RJ	2021-02-22	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/RJ-FIOCRUZ-7544/2021	RJ	2021-02-22	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCov-19/Brazil/RJ-FIOCRUZ-7557/2021	RJ	2021-02-18	P.1	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/RJ-FIOCRUZ-7558/2021	RJ	2021-02-17	P.1	NA	MiSeq_LVRS_056	2021-03-11
hCoV-19/Brazil/RJ-FIOCRUZ-7581/2021	RJ	2021-02-23	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCov-19/Brazil/RJ-FIOCRUZ-7602/2021	RJ	2021-02-18	P.1	NA	MiSeq_LVRS_056	2021-03-11
hCoV-19/Brazil/RJ-FIOCRUZ-7665/2021	RJ	2021-02-22	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-7666/2021	RJ	2021-02-22	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/RJ-FIOCRUZ-7761A1/2020	RJ	2020-07-03	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-7764A1/2020	RJ	2020-07-03	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/RJ-FIOCRUZ-7837/2021	RJ	2021-02-24	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-7984/2021	RJ	2021-02-25	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8005/2021	RJ	2021-02-25	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8007/2021	RJ	2021-02-25	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8037/2021	RJ	2021-02-25	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8052/2021	RJ	2021-02-25	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8234/2021	RJ	2021-02-26	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8271/2021	RJ	2021-02-26	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8423/2021	RJ	2021-02-26	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8484/2021	RJ	2021-03-01	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8494/2021	RJ	2021-03-01	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/RJ-FIOCRUZ-886/2021	RJ	2021-01-11	P.2	NA	MiSeq_LVRS_037	2021-01-26
hCoV-19/Brazil/RJ-FIOCRUZ-8900/2021	RJ	2021-03-02	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8911/2021	RJ	2021-03-02	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8919/2021	RJ	2021-03-03	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8980/2021	RJ	2021-03-01	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/RJ-FIOCRUZ-899/2021	RJ	2021-01-12	P.2	NA	MiSeq_LVRS_037	2021-01-26
hCoV-19/Brazil/RJ-FIOCRUZ-8995/2021	RJ	2021-03-03	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-9014/2021	RJ	2021-03-02	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-9032/2021	RJ	2021-03-03	B.1.1.7	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-9095-1P/2020	RJ	2020-07-20	B.1.1.33	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/RJ-FIOCRUZ-9399/2021	RJ	2021-02-17	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-9400/2021	RJ	2021-02-17	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
